Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
0;1;9.270675;0
1;2;16.02449;9.27067470550537
2;3;16.06172;25.2951631546021
3;4;17.13958;41.3568830490112
4;5;16.10173;58.4964628219604
5;6;16.77855;74.5981969833374
6;7;16.30013;91.3767461776733
7;8;17.07032;107.676875114441
8;9;16.58913;124.747195243835
9;10;16.9179;141.336327552795
10;11;16.55086;158.254229545593
11;12;16.66999;174.805090904236
12;13;17.4553;191.475085258484
13;14;15.90627;208.930380821228
14;15;16.69131;224.836647987366
15;16;16.90541;241.527953147888
16;17;16.19445;258.433362007141
17;18;16.8189;274.627812385559
18;19;16.70797;291.446707725525
19;20;16.80298;308.154675483704
20;21;16.89583;324.95765209198
21;22;16.96862;341.853484153748
22;23;15.99211;358.822102546692
23;24;18.05043;374.814211845398
24;25;15.94747;392.864640235901
25;26;16.65232;408.812113761902
26;27;16.22986;425.464436531067
27;28;16.9801;441.694293022156
28;29;16.24168;458.67439365387
29;30;16.74849;474.916071891785
30;31;17.1868;491.664565086365
31;32;16.98884;508.851365089417
32;33;15.94734;525.840201377869
33;34;16.66438;541.787545204163
34;35;16.70128;558.451920509338
35;36;16.34221;575.153204917908
36;37;16.75758;591.495413780212
37;38;17.02453;608.252995491028
38;39;16.7183;625.277529716492
39;40;16.44582;641.995825767517
40;41;16.58323;658.441649436951
41;42;17.17133;675.024882316589
42;43;16.8155;692.19621181488
43;44;16.84182;709.01171207428
44;45;16.17255;725.853531837463
45;46;16.6403;742.026080131531
46;47;16.8761;758.666380882263
47;48;16.33623;775.542485237122
48;49;16.61804;791.878712654114
49;50;16.78084;808.496750831604
50;51;17.21541;825.277594566345
51;52;16.29138;842.493006706238
52;53;17.11257;858.784388542175
53;54;16.03733;875.896958351135
54;55;17.31521;891.934292793274
55;56;16.30877;909.24950504303
56;57;16.40577;925.558270454407
57;58;16.75316;941.964037895203
58;59;15.79162;958.717200279236
59;60;17.66665;974.508821487427
60;61;17.47126;992.17547416687
61;62;16.13032;1009.64673042297
62;63;18.52758;1025.77705001831
63;64;14.78357;1044.30462646484
64;65;17.08015;1059.08819770813
65;66;16.79702;1076.16834640503
66;67;16.81173;1092.96537017822
67;68;16.13838;1109.77710151672
68;69;16.69149;1125.91548538208
69;70;19.93749;1142.60697174072
70;71;15.22761;1162.54446411133
71;72;17.82913;1177.77207279205
72;73;15.87047;1195.60120105743
73;74;15.74817;1211.47167110443
74;75;18.16833;1227.21984004974
75;76;16.97932;1245.38816738129
76;77;23.39784;1262.36748790741
77;78;26.03517;1285.76532840729
78;79;17.37076;1311.80049610138
79;80;15.88178;1329.17125225067
80;81;14.32131;1345.05303287506
81;82;17.04712;1359.37434387207
82;83;18.34779;1376.421459198
83;84;15.6595;1394.76924514771
84;85;17.75565;1410.42874717712
85;86;17.16431;1428.18439865112
86;87;15.80383;1445.3487071991
87;88;16.19603;1461.15254020691
88;89;19.02781;1477.34857368469
89;90;15.98066;1496.37638092041
90;91;14.49868;1512.35703754425
91;92;18.52783;1526.85572242737
92;93;14.57751;1545.38354873657
93;94;16.49972;1559.96106147766
94;95;18.34623;1576.46077728271
95;96;15.83358;1594.80700874329
96;97;16.20344;1610.64058876038
97;98;17.82906;1626.8440246582
