Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
0;1;9.981374;0
1;2;15.37685;9.98137378692627
2;3;16.05597;25.3582229614258
3;4;16.72171;41.4141902923584
4;5;16.65061;58.1359024047852
5;6;17.5192;74.7865123748779
6;7;17.66766;92.3057079315186
7;8;16.14201;109.973371505737
8;9;17.22032;126.115383148193
9;10;14.22903;143.335704803467
10;11;19.51866;157.5647315979
11;12;16.87986;177.083395004272
12;13;13.82191;193.963254928589
13;14;19.70014;207.785164833069
14;15;17.64268;227.485308647156
15;16;14.74523;245.127985954285
16;17;17.90168;259.873215675354
17;18;16.19624;277.774891853333
18;19;15.48034;293.971135139465
19;20;17.70833;309.45147895813
20;21;16.97927;327.159811019897
21;22;15.30357;344.139078140259
22;23;17.64062;359.442649841309
23;24;17.0447;377.08327293396
24;25;16.24057;394.127975463867
25;26;16.57093;410.368541717529
26;27;16.8229;426.939470291138
27;28;16.92165;443.76237487793
28;29;16.74072;460.684024810791
29;30;16.44642;477.424743652344
30;31;17.76231;493.871168136597
31;32;15.67638;511.63348197937
32;33;16.80597;527.309865951538
33;34;14.13105;544.115837097168
34;35;16.67796;558.246890068054
35;36;19.51744;574.924851417542
36;37;16.12473;594.44229221344
37;38;15.70934;610.567021369934
38;39;16.62064;626.276357650757
39;40;15.49541;642.897001266479
40;41;18.58725;658.392414093018
41;42;16.98069;676.979661941528
42;43;16.72576;693.960353851318
43;44;16.91952;710.686113357544
44;45;17.08261;727.605628967285
45;46;16.97902;744.68824005127
46;47;16.84055;761.66725730896
47;48;14.95824;778.507804870605
48;49;17.88129;793.466045379639
49;50;16.26491;811.347333908081
50;51;16.81611;827.612245559692
51;52;16.73392;844.428358078003
52;53;16.51249;861.162273406982
53;54;16.89435;877.67476272583
54;55;16.53231;894.569110870361
55;56;16.7872;911.101417541504
56;57;16.39679;927.888612747192
57;58;17.42286;944.285404205322
58;59;15.95156;961.708267211914
59;60;15.88664;977.659830093384
60;61;15.78;993.546469688416
61;62;17.87872;1009.32646846771
62;63;16.71716;1027.20519161224
63;64;16.4827;1043.92234706879
64;65;17.57899;1060.40504932404
65;66;16.69654;1077.98403644562
66;67;16.88761;1094.68057155609
67;68;16.45543;1111.56817722321
68;69;17.36685;1128.0236082077
69;70;15.9751;1145.39045619965
70;71;16.31906;1161.36555290222
71;72;16.82206;1177.68460845947
72;73;16.62027;1194.50667190552
73;74;17.16581;1211.12694358826
74;75;15.47015;1228.2927532196
75;76;18.36314;1243.7628993988
76;77;14.59974;1262.12603569031
77;78;18.07202;1276.72578048706
78;79;14.69049;1294.79779624939
79;80;18.4952;1309.48828220367
80;81;16.65519;1327.98348522186
81;82;16.44416;1344.63867282867
82;83;16.8696;1361.0828332901
83;84;16.71305;1377.95243549347
84;85;13.9039;1394.66548252106
85;86;19.57788;1408.56937789917
86;87;15.03412;1428.14726257324
87;88;18.17662;1443.18138694763
88;89;16.73754;1461.35801124573
89;90;17.46347;1478.09555435181
90;91;16.75484;1495.55902671814
91;92;15.91389;1512.31386184692
92;93;16.96162;1528.22775363922
93;94;16.06663;1545.18937015533
94;95;17.20798;1561.25599956512
95;96;17.07476;1578.4639787674
96;97;15.91697;1595.53873729706
97;98;16.65286;1611.45570468903
98;99;16.85016;1628.1085691452
99;100;15.69503;1644.95873355865
100;101;17.12944;1660.65376281738
101;102;17.48008;1677.783203125
102;103;16.08137;1695.26328468323
103;104;14.9591;1711.3446521759
104;105;19.51961;1726.30375480652
105;106;13.56508;1745.82336807251
106;107;17.83934;1759.38844490051
107;108;18.9119;1777.22778511047
108;109;16.31997;1796.13968467712
109;110;18.63185;1812.45965003967
110;111;11.96276;1831.09150123596
111;112;17.83196;1843.05425834656
112;113;16.39469;1860.88621520996
113;114;15.93392;1877.28090286255
114;115;19.84529;1893.21482181549
115;116;12.47057;1913.06010913849
116;117;19.6735;1925.53068351746
117;118;17.12318;1945.20418739319
118;119;16.29354;1962.32736778259
119;120;16.76008;1978.62090492249
120;121;16.16932;1995.38098144531
121;122;17.22435;2011.55030250549
122;123;15.90806;2028.77465248108
123;124;17.19516;2044.68271255493
124;125;16.81298;2061.87787628174
125;126;17.03144;2078.6908531189
126;127;16.75595;2095.72228813171
127;128;16.60766;2112.47823524475
128;129;15.85323;2129.08589363098
129;130;16.02882;2144.93912029266
130;131;17.5136;2160.96793651581
131;132;16.95497;2178.48153209686
132;133;16.58624;2195.43650341034
133;134;15.48051;2212.02274227142
134;135;18.49995;2227.50325679779
135;136;15.52923;2246.00320911407
136;137;17.82235;2261.53243541718
137;138;16.28221;2279.35478305817
138;139;16.51223;2295.63698863983
139;140;16.79334;2312.14921665192
140;141;15.49498;2328.94255542755
141;142;17.74578;2344.4375371933
142;143;16.74329;2362.18332195282
143;144;16.41381;2378.92661571503
144;145;17.07758;2395.34042835236
145;146;17.07319;2412.41801166534
146;147;15.96644;2429.49119853973
147;148;16.68643;2445.45763874054
148;149;15.87623;2462.14406490326
149;150;16.95559;2478.02029514313
150;151;16.32118;2494.97588634491
151;152;17.65292;2511.29706478119
152;153;16.67629;2528.94998264313
153;154;14.64885;2545.62627124786
154;155;18.71207;2560.27511882782
155;156;15.74926;2578.98719120026
156;157;17.51782;2594.73645210266
157;158;16.09343;2612.25427627563
158;159;16.70141;2628.34770584106
159;160;16.19322;2645.04911994934
160;161;17.76093;2661.24233627319
161;162;16.83938;2679.00326728821
162;163;16.24509;2695.84264373779
163;164;17.05405;2712.08773803711
164;165;17.43389;2729.14178657532
165;166;15.14267;2746.57567977905
166;167;17.11259;2761.71834754944
167;168;17.5007;2778.83093833923
168;169;15.57593;2796.33163833618
169;170;18.00663;2811.90757274628
170;171;16.13767;2829.91420650482
171;172;16.4378;2846.05187892914
172;173;17.01627;2862.48967647552
173;174;15.39353;2879.50594425201
174;175;17.88152;2894.89947509766
175;176;16.36778;2912.78099250793
176;177;17.1283;2929.14876937866
177;178;16.37733;2946.2770690918
178;179;16.14412;2962.65439414978
179;180;16.28355;2978.79850959778
180;181;16.97895;2995.08205795288
181;182;18.10474;3012.06100654602
182;183;16.33842;3030.16574668884
183;184;16.30506;3046.50416755676
184;185;16.59624;3062.8092250824
185;186;16.74346;3079.40546035767
186;187;16.57052;3096.1489238739
187;188;16.90876;3112.71944236755
188;189;16.22703;3129.62819862366
189;190;16.99101;3145.85523033142
190;191;16.58295;3162.84624099731
191;192;16.98314;3179.42919158936
192;193;15.39716;3196.41232681274
193;194;16.25869;3211.80948352814
194;195;17.98547;3228.06817340851
195;196;17.76832;3246.05364704132
196;197;15.52177;3263.82197093964
197;198;14.43612;3279.34374332428
198;199;16.60761;3293.77986049652
199;200;19.0201;3310.38746929169
200;201;16.98236;3329.40757274628
201;202;16.54226;3346.38992786407
202;203;14.34254;3362.93218326569
203;204;19.16875;3377.27472400665
204;205;16.47119;3396.44347667694
205;206;16.8338;3412.91466808319
206;207;16.53157;3429.74847126007
207;208;16.57891;3446.28004550934
208;209;17.70304;3462.85896015167
209;210;15.40684;3480.56200122833
210;211;17.47769;3495.96883678436
211;212;15.48123;3513.44652462006
212;213;15.96762;3528.92775058746
213;214;18.04572;3544.89537239075
214;215;16.52564;3562.94108772278
215;216;15.01476;3579.4667301178
216;217;16.33457;3594.48148727417
217;218;17.6377;3610.8160610199
218;219;17.86077;3628.45376014709
219;220;15.28451;3646.3145275116
220;221;16.79999;3661.59903335571
221;222;15.97154;3678.39902305603
222;223;17.29344;3694.37056255341
223;224;17.18973;3711.66400241852
224;225;15.22004;3728.85373592377
225;226;19.30484;3744.07378005981
226;227;17.61716;3763.37862014771
227;228;15.62346;3780.99578094482
228;229;16.91068;3796.6192445755
229;230;15.07952;3813.52992534637
230;231;18.54303;3828.60944461823
231;232;16.25016;3847.15247821808
232;233;14.44507;3863.40264225006
233;234;19.19017;3877.84771633148
234;235;14.68423;3897.03789043427
235;236;18.65383;3911.72211551666
236;237;16.19168;3930.3759469986
237;238;16.53687;3946.5676317215
238;239;14.82067;3963.10449695587
239;240;18.71267;3977.92516899109
240;241;16.22639;3996.63784217834
241;242;17.49744;4012.86423301697
242;243;16.74582;4030.36166954041
243;244;16.68523;4047.10748672485
244;245;14.20341;4063.79272079468
245;246;17.96942;4077.99612998962
246;247;17.75429;4095.96555328369
247;248;16.54452;4113.71984100342
248;249;16.98366;4130.26436042786
249;250;16.87929;4147.24801635742
250;251;16.2878;4164.1273059845
251;252;14.23337;4180.415102005
252;253;19.16388;4194.6484670639
253;254;16.21239;4213.81235027313
254;255;16.85715;4230.02474498749
255;256;17.42102;4246.88189220428
