Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"EditorLoop";13.90282;2.321423;29.9993;75;3;221;1;1;8847.21830368042;13.9546;13.14875;14.77005;2535;4;3;4;634;1;0.076985;26.89742;534;384;13.35752
"PlayerLoop";2.31904;1.32662;3.665556;546;223;1;1;1;1437.85400927067;2.267909;1.895201;2.584188;1902;3;3;3;634;1;0.009398;2.997567;269;362;2.647959
"RenderPlayModeViewCameras";1.663293;0.948366;2.997187;40;269;362;2;2;1000.60760432482;1.578245;1.207836;1.834977;634;1;1;1;634;1;0.948366;2.997187;269;362;1.821922
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.596838;0.921807;2.937805;583;269;362;3;3;951.784514844418;1.501237;1.144026;1.767129;634;1;1;1;634;1;0.921807;2.937805;269;362;1.764414
"Inl_UniversalRenderTotal";1.575418;0.91318;2.916664;431;269;362;4;4;940.102874159813;1.482812;1.131291;1.744216;634;1;1;1;634;1;0.91318;2.916664;269;362;1.742052
"Inl_RenderCameraStack";1.553156;0.903061;2.894383;382;269;362;5;5;927.519825279713;1.462965;1.11463;1.720952;634;1;1;1;634;1;0.903061;2.894383;269;362;1.71971
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";0.92365;0.5097;2.315372;497;223;362;6;6;532.384868681431;0.8397238;0.642561;0.978694;634;1;1;1;634;1;0.5097;2.315372;223;362;0.968375
"UpdateScene";0.596855;0.316997;1.190273;119;242;232;2;2;424.339043617249;0.6693045;0.538535;0.834271;634;1;1;1;634;1;0.316997;1.190273;242;232;0.804436
"Inl_ScriptableRenderContext.Submit";0.549956;0.3185;0.778737;79;269;49;6;6;323.204995423555;0.5097871;0.389684;0.603928;634;1;1;1;634;1;0.3185;0.778737;269;49;0.622132
"UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";0.486927;0.282111;0.693707;553;269;49;7;7;286.760729134083;0.452304;0.342485;0.538144;634;1;1;1;634;1;0.282111;0.693707;269;49;0.560065
"ExecuteRenderGraph";0.470346;0.272132;0.671244;443;269;49;8;8;276.559387326241;0.4362136;0.329451;0.52021;634;1;1;1;634;1;0.272132;0.671244;269;49;0.543845
"Profiler.FlushCounters";0.438146;0.224223;0.739994;36;319;168;1;1;267.612984851003;0.4221025;0.298963;0.536852;634;1;1;1;634;1;0.224223;0.739994;319;168;0.676334
"Profiler.FlushMemoryCounters";0.392239;0.200989;0.650095;137;319;168;2;2;243.437346428633;0.3839706;0.268606;0.487228;634;1;1;1;634;1;0.200989;0.650095;319;168;0.624907
"Inl_ExecuteRenderGraph";0.304073;0.159;0.392289;308;269;573;7;7;169.911986231804;0.268;0.188746;0.32389;634;1;1;1;634;1;0.159;0.392289;269;573;0.31838
"Inl_RecordRenderGraph";0.295216;0.169108;0.395175;107;516;247;7;7;171.059940591455;0.2698106;0.210908;0.310976;634;1;1;1;634;1;0.169108;0.395175;516;247;0.315094
"RenderLoop.ScheduleDraw";0.292932;0.162316;0.464215;175;523;35;10;11;171.558756992221;0.2705974;0.198985;0.325122;4438;7;7;7;634;1;0.00011;0.169941;80;35;0.353375
"Inl_On Record Render Graph";0.288193;0.16438;0.386949;407;516;247;8;8;166.910292476416;0.2632654;0.206078;0.303472;634;1;1;1;634;1;0.16438;0.386949;516;247;0.30753
"FixedUpdate.PhysicsFixedUpdate";0.180901;0.117402;0.439648;298;295;192;3;3;104.228587508202;0.1981532;0.156174;0.233499;529;1;1;2;526;1;0.062818;0.439648;222;192;0.191611
"Physics.RunSimulationStage";0.165512;0.107974;0.411015;159;295;335;4;4;96.8728517144918;0.1841689;0.144943;0.215957;529;1;1;2;526;1;0.059081;0.411015;222;335;0.177264
"Physics.Simulate";0.165361;0.107783;0.410674;159;295;335;5;5;96.7318968698382;0.1839009;0.144763;0.215556;529;1;1;2;526;1;0.059031;0.410674;222;335;0.177023
"PxScene.simulate";0.16444;0.107393;0.410012;274;295;335;6;6;96.4254627898335;0.1833184;0.144412;0.215035;529;1;1;2;526;1;0.058831;0.410012;222;335;0.176462
"Profiler.RequestScreenshot";0.156555;0.090791;0.693447;631;166;1;5;5;9.19681595265865;0.2138794;0.114486;0.197001;43;1;1;1;43;1;0.090791;0.693447;166;1;0
"CullScriptable";0.152548;0.065334;0.255682;602;223;508;7;7;91.0563027486205;0.1436219;0.113043;0.167325;634;1;1;1;634;1;0.065334;0.255682;223;508;0.163909
"RenderLoop.DrawSRPBatcher";0.106882;0.059732;0.18058;47;217;35;12;12;63.2699557431042;0.09979488;0.07408;0.119755;1268;2;2;2;634;1;0.024466;0.128752;273;35;0.124023
"RenderTarget.GrabPixels";0.100159;0.019577;0.12768;16;1;496;6;6;3.89179199188948;0.09050679;0.060855;0.107622;43;1;1;1;43;1;0.019577;0.12768;1;496;0
"SRPBatcher.Flush";0.100108;0.054743;0.162095;616;261;110;13;14;61.1604767031968;0.09646763;0.076535;0.113133;1902;3;3;3;634;1;0.011642;0.065383;269;110;0.114385
"DrawOpaqueObjects";0.09511;0.051738;0.171573;580;523;35;9;9;55.2254308536649;0.08710635;0.061426;0.105529;634;1;1;1;634;1;0.051738;0.171573;523;35;0.117311
"DrawBuffersBatchMode";0.092033;0.050495;0.152427;55;261;110;14;15;56.4377809427679;0.08901858;0.070854;0.104017;1902;3;3;3;634;1;0.008607;0.064501;269;110;0.104797
"Update.ScriptRunBehaviourUpdate";0.088367;0.051437;0.300947;331;344;508;3;3;63.0675129182637;0.09947557;0.070493;0.114185;634;1;1;1;634;1;0.051437;0.300947;344;508;0.126879
"BehaviourUpdate";0.087816;0.051077;0.298533;331;344;508;4;4;62.6015737652779;0.09874065;0.069982;0.113695;634;1;1;1;634;1;0.051077;0.298533;344;508;0.126388
"SceneCulling";0.083387;0.031269;0.158369;397;223;284;8;8;51.4648329503834;0.08117481;0.065463;0.095049;634;1;1;1;634;1;0.031269;0.158369;223;284;0.097113
