Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"EditorLoop";13.60245;6.703418;17.10805;6;1;633;1;1;8771.09981918335;13.74781;13.03022;14.54378;2551;4;3;4;638;1;0.096252;15.66381;637;446;14.56123
"PlayerLoop";2.465644;1.448117;3.91756;443;548;31;1;1;1539.79675853252;2.413475;2.061123;2.756162;1914;3;3;3;638;1;0.008997;2.555504;537;136;1.795273
"RenderPlayModeViewCameras";1.813387;0.972161;2.555094;623;637;136;2;2;1053.56436723471;1.651355;1.3428;1.863571;638;1;1;1;638;1;0.972161;2.555094;637;136;1.212244
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";1.747853;0.932006;2.02769;109;637;359;3;3;1002.4634244442;1.571259;1.251237;1.795012;638;1;1;1;638;1;0.932006;2.02769;637;359;1.170425
"Inl_UniversalRenderTotal";1.725902;0.917819;2.005638;401;637;359;4;4;990.06355035305;1.551824;1.234736;1.7727;638;1;1;1;638;1;0.917819;2.005638;637;359;1.156038
"Inl_RenderCameraStack";1.702197;0.906648;1.982595;274;637;359;5;5;976.783286571503;1.531008;1.219507;1.749175;638;1;1;1;638;1;0.906648;1.982595;637;359;1.141581
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";0.974275;0.516784;1.162891;164;637;359;6;6;559.43776756525;0.8768617;0.689519;0.998621;638;1;1;1;638;1;0.516784;1.162891;637;359;0.642912
"UpdateScene";0.725366;0.299114;1.787928;583;578;15;2;2;472.364369064569;0.740383;0.554224;0.918119;638;1;1;1;638;1;0.299114;1.787928;578;15;0.569202
"Inl_ScriptableRenderContext.Submit";0.587256;0.323359;0.742619;447;637;145;6;6;341.950988024473;0.5359733;0.405474;0.615249;638;1;1;1;638;1;0.323359;0.742619;637;145;0.401406
"Profiler.FlushCounters";0.539346;0.234111;0.760914;173;560;438;1;1;308.373171448708;0.4833435;0.335813;0.586916;638;1;1;1;638;1;0.234111;0.760914;560;438;0.337165
"UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";0.522394;0.285679;0.664652;451;637;145;7;7;303.050015956163;0.475;0.353897;0.547612;638;1;1;1;638;1;0.285679;0.664652;637;145;0.357623
